,Parking,Swimming Pool,Restaurant,Room Service,Fitness Centre,Spa & Wellness Centre,Business Centre,Facilities for Disabled,Airport Shuttle,Non-smoking Rooms,Babysitting/Child Services,Meeting/Banquet Facilities,Car Rental,Breakfast Buffet,Bar/Lounge,Kids Activities,Game Room,Dry Cleaning,Valet Parking,name,rate,review,Highspeed Internet,Airconditioning,Safe/Vault,Tennis Court,Indoor Pool,Pet-friendly,Casino,Golfcourse,Beach Access,Ski-In Ski-Out
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,voco Riyadh An IHG Hotel,9.0,5662 reviews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,1.0,Boudl Gaber,8.1,830 reviews,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,"Mansard Riyadh, a Radisson Collection Hotel",9.0,1389 reviews,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,Innyar Hotel,N/A,N/A,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,Crowne Plaza Riyadh Palace,8.0,2895 reviews,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,Radisson Blu Hotel & Residence Riyadh Diplomatic Quarters ,8.9,1501 reviews,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,"Mandarin Oriental Al Faisaliah, Riyadh",8.6,5931 reviews,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,Executives Hotel - Olaya,7.7,2841 reviews,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0
8,1.0,,,,,,,,,,,,,,,,,,,Amber Hospitality Al Nafel,N/A,N/A,,,,,,0.0,0.0,0.0,0.0,0.0
9,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,Al Muteb Suites Al Ezdehar 2,7.0,497 reviews,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0
10,1.0,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,Boudl Al Sulimanyah,8.2,2074 reviews,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0
11,1.0,,,,,,,,,1.0,,,,,,,,,,Taleen Al Nakheel Apartment,6.3,365 reviews,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0
12,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,Braira Al Wezarat,8.4,4149 reviews,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0
13,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,Granada Palace Inn,7.7,130 reviews,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0
14,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,Motiara Hotel – Al Murouj,7.1,426 reviews,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0
15,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,,Grand Plaza Hotel - Takhasosi Riyadh,8.3,4037 reviews,1.0,,,,,0.0,0.0,0.0,0.0,0.0
16,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,,Almuhaidb Salahuddin- Almalaz,7.7,1182 reviews,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0
17,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,Al Farhan Hotel Suites (Exit 15),6.1,241 reviews,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0
18,1.0,,,,,,,1.0,,,,,,,,,,,,Taleen AlAqiq hotel apartments,N/A,N/A,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0
19,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,Hilton Riyadh Hotel & Residences,8.3,9245 reviews,1.0,,,,,0.0,0.0,0.0,0.0,0.0
20,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,Boudl Al Munsiyah,8.0,4311 reviews,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0
21,,,,1.0,,,,,,1.0,,,,,1.0,,,,,Kease Ghadeer B-1 Royal touch AX25,8.1,109 reviews,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,0.0
22,1.0,,,1.0,,,,,,1.0,,,,,,,,1.0,,AlMuhaidb Almalaz 7,6.7,219 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,Jareed Hotel Riyadh,9.0,1443 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
24,1.0,,,,,,,,,1.0,,,,,,,,,,Kease Al Izdihar -7 Luxury Gold AZ99,6.0,5 reviews,,,,,,,0.0,0.0,0.0,0.0
25,1.0,,,,,,,1.0,,1.0,,,,,,,,,,Al Muteb Suites Al Tawon,N/A,N/A,1.0,1.0,,,,,0.0,0.0,0.0,0.0
26,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,Rest Night Hotel Apartment,N/A,N/A,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,Art View Hotel,7.9,26 reviews,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0
28,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,Continent Hotel Al Waha Riyad,7.7,1696 reviews,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0
29,,,,,,1.0,,,,1.0,,,,,,,,,1.0,msharef almoden hotel,N/A,N/A,1.0,,1.0,,,,0.0,0.0,0.0,0.0
